Employee_ID,Employee_Name,Age,Country,Department,Position,Salary,Joining_Date
1,Daniel Taylor,25,UK,HR,Analyst,142278.32,04-06-2023
2,Ethan Brown,44,India,Marketing,Executive,98549.2,13-01-2018
3,Sophia Martinez,51,Japan,Finance,Developer,85565.84,30-04-2015
4,Ethan Martinez,47,Germany,Support,Analyst,34513.67,17-06-2015
5,Mia Brown,32,Australia,Support,Consultant,45339.72,22-02-2019
6,Ava Moore,35,Japan,HR,Executive,90973.25,29-09-2018
7,Mason Brown,48,UK,Finance,Assistant,58227.95,24-08-2021
8,Mason Anderson,45,USA,Finance,Manager,147839.1,08-01-2021
9,Sophia Wilson,40,Brazil,Marketing,Developer,126394.86,20-12-2018
10,Ava Martinez,40,India,Sales,Manager,119828.28,18-05-2018
11,Lily Brown,24,Australia,Support,Analyst,52673.56,22-08-2024
12,Emma Moore,25,Canada,HR,Consultant,65475.24,20-11-2016
13,Logan Taylor,45,USA,Sales,Assistant,97261.76,03-07-2024
14,Mason Hernandez,34,Mexico,Marketing,Executive,144619.82,12-11-2017
15,Ava Hernandez,47,Mexico,Sales,Assistant,87494.81,07-09-2021
16,Lily Taylor,42,Brazil,Marketing,Consultant,67741.4,11-10-2021
17,Lily Jackson,42,India,Marketing,Assistant,39667.76,10-08-2016
18,Daniel Anderson,44,Canada,Engineering,Consultant,113240.58,20-02-2017
19,Ethan Davis,39,Australia,HR,Consultant,88609.78,04-12-2021
20,Lily Hernandez,55,USA,Support,Analyst,75824.9,01-03-2021
21,Sophia Brown,49,UK,Finance,Consultant,68754.5,24-08-2022
22,Mia Moore,50,Australia,Support,Consultant,46195.44,25-10-2021
23,Sophia Moore,60,Japan,Engineering,Consultant,145005.3,09-11-2018
24,Mason Anderson,39,USA,Engineering,Developer,120007.88,16-04-2022
25,Mason Wilson,50,Germany,Sales,Consultant,54029.27,09-01-2021
26,Lucas Davis,25,Germany,Support,Assistant,118576.23,25-04-2015
27,Logan Davis,42,Japan,Engineering,Assistant,106711.66,12-05-2024
28,Mia Thomas,23,Brazil,HR,Manager,129690,21-07-2024
29,Emma Anderson,50,India,Engineering,Consultant,53283.43,04-11-2016
30,Sophia Martinez,52,UK,Sales,Manager,138677.05,03-08-2022
31,Lucas Thomas,26,USA,Finance,Developer,94449.41,27-08-2017
32,Sophia Davis,55,Mexico,Finance,Developer,93124.61,23-11-2017
33,Mason Hernandez,22,France,HR,Manager,90844.09,28-01-2021
34,Mia Anderson,52,USA,Support,Consultant,116429.2,14-09-2015
35,Ethan Anderson,53,Germany,Marketing,Executive,103514.25,01-01-2022
36,Sophia Hernandez,33,France,Support,Analyst,142158.9,02-10-2015
37,Logan Davis,36,France,Engineering,Consultant,119260.22,06-01-2025
38,Mason Wilson,43,India,HR,Executive,133786.9,05-02-2020
39,Mia Taylor,46,India,HR,Developer,114691.42,26-11-2021
40,Mason Thomas,34,Australia,HR,Consultant,30898.14,28-07-2023
41,Logan Martinez,47,India,Engineering,Developer,106882.31,28-07-2024
42,Lily Taylor,23,Mexico,Engineering,Manager,44606.68,09-03-2020
43,Daniel Jackson,28,Germany,Engineering,Assistant,131824.26,05-12-2017
44,Daniel Martinez,49,Japan,Engineering,Manager,142496.06,23-09-2018
45,Emma Hernandez,26,Brazil,Engineering,Manager,127274.8,14-12-2024
46,Emma Anderson,28,Brazil,Finance,Manager,82260.09,06-12-2016
47,Lily Taylor,51,India,Finance,Manager,40256.17,01-12-2018
48,Ethan Martinez,35,Mexico,Finance,Analyst,42461.83,11-10-2020
49,Daniel Brown,38,Canada,Sales,Consultant,94041.78,26-05-2018
50,Daniel Brown,53,India,Marketing,Assistant,148198.92,09-06-2015
51,Logan Jackson,23,France,Support,Manager,96377.76,17-04-2020
52,Lily Davis,35,USA,Support,Analyst,53445.55,16-10-2018
53,Ava Wilson,22,USA,Finance,Assistant,122422.5,08-02-2022
54,Logan Hernandez,56,Brazil,Finance,Assistant,87033.39,09-03-2023
55,Daniel Wilson,41,Canada,Finance,Developer,66226.39,03-01-2023
56,Mia Martinez,58,Australia,Marketing,Analyst,92336.34,10-07-2017
57,Lily Brown,42,Mexico,Support,Developer,124141.01,08-12-2021
58,Ethan Jackson,54,USA,HR,Consultant,46304.72,10-07-2022
59,Logan Moore,58,Canada,Engineering,Manager,138189.6,11-07-2023
60,Mason Hernandez,54,Germany,Sales,Manager,126649.83,20-04-2018
61,Ava Jackson,28,Mexico,Engineering,Consultant,125007.69,07-06-2024
62,Mia Martinez,52,India,Support,Consultant,140818.53,03-07-2019
63,Mason Wilson,24,USA,Finance,Manager,109062.08,28-10-2023
64,Daniel Taylor,40,Japan,Support,Executive,40581.9,23-08-2015
65,Emma Moore,27,India,Engineering,Executive,142665.47,17-03-2021
66,Logan Brown,59,UK,Sales,Manager,91702.79,14-07-2020
67,Lily Hernandez,49,USA,HR,Executive,54219.16,06-07-2017
68,Mason Taylor,23,France,Engineering,Assistant,126455.3,11-03-2015
69,Daniel Anderson,44,Mexico,Finance,Analyst,112953.29,02-10-2018
70,Mia Hernandez,51,Germany,Finance,Manager,124586.28,05-08-2018
71,Ava Martinez,32,Japan,HR,Manager,95259.86,14-10-2022
72,Daniel Martinez,43,Brazil,HR,Assistant,72159.04,16-04-2018
73,Mason Wilson,23,France,Marketing,Developer,57901.21,13-04-2024
74,Sophia Jackson,45,UK,HR,Executive,140416.91,08-01-2018
75,Daniel Davis,44,Australia,Marketing,Manager,86797.69,24-02-2020
76,Ethan Thomas,43,Mexico,Sales,Developer,118671.04,05-10-2024
77,Mason Jackson,47,UK,Marketing,Assistant,54867.55,24-05-2016
78,Lucas Davis,41,France,Marketing,Manager,39351.36,11-06-2020
79,Emma Brown,37,India,Finance,Assistant,44287.77,06-10-2021
80,Daniel Jackson,47,Australia,Engineering,Developer,138029.49,22-12-2021
81,Ava Brown,38,Brazil,Finance,Analyst,37605.06,30-07-2024
82,Daniel Moore,32,Canada,Marketing,Analyst,84256.11,29-10-2024
83,Logan Martinez,44,Germany,Finance,Developer,121784.55,09-02-2018
84,Sophia Thomas,35,Canada,Marketing,Developer,124583.45,06-04-2021
85,Daniel Davis,23,France,Finance,Developer,40432.52,24-08-2015
86,Emma Wilson,54,France,HR,Analyst,66997.38,07-09-2020
87,Lucas Davis,58,Brazil,Marketing,Executive,139832.58,23-01-2016
88,Lucas Thomas,39,Canada,Marketing,Assistant,129419.03,28-06-2017
89,Mason Davis,51,France,Sales,Executive,107180.02,25-04-2021
90,Ava Brown,46,Mexico,HR,Executive,101642.66,25-03-2015
91,Logan Davis,37,France,HR,Consultant,106421.95,06-01-2022
92,Lucas Moore,32,Japan,Finance,Consultant,65954.02,24-05-2024
93,Sophia Davis,25,India,HR,Assistant,145552.91,06-04-2018
